Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 27747 }, this_run: Tick { tick: 28042 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 28042 }, this_run: Tick { tick: 28336 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 28336 }, this_run: Tick { tick: 28632 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 28632 }, this_run: Tick { tick: 28926 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 28926 }, this_run: Tick { tick: 29219 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 29219 }, this_run: Tick { tick: 29514 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 29514 }, this_run: Tick { tick: 29808 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 29808 }, this_run: Tick { tick: 30102 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 30102 }, this_run: Tick { tick: 30395 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 30395 }, this_run: Tick { tick: 30690 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 30690 }, this_run: Tick { tick: 30984 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 30984 }, this_run: Tick { tick: 31278 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 31278 }, this_run: Tick { tick: 31571 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 31571 }, this_run: Tick { tick: 31866 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 31866 }, this_run: Tick { tick: 32159 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 32159 }, this_run: Tick { tick: 32461 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 32461 }, this_run: Tick { tick: 32756 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 32756 }, this_run: Tick { tick: 33050 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 33050 }, this_run: Tick { tick: 33343 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 33343 }, this_run: Tick { tick: 33638 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 33638 }, this_run: Tick { tick: 33932 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 33932 }, this_run: Tick { tick: 34226 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 34226 }, this_run: Tick { tick: 34519 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 34519 }, this_run: Tick { tick: 34812 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 34812 }, this_run: Tick { tick: 35105 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 35105 }, this_run: Tick { tick: 35399 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
[GameTimeMultiplier, RealTime] reached max count 1, shortning to max
[GameTimeMultiplier, RealTime] reached max count 1, shortning to max
[GameTimeMultiplier, RealTime] reached max count 1, shortning to max
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 35399 }, this_run: Tick { tick: 35692 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 35692 }, this_run: Tick { tick: 35985 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
